DATE,NUMBER OF DRUM(QTY),RATE,AMOUNT,EXPENSES ANALYSIS,PRODUCTION COST,RETURNS
02/01/2023,6 DRUMS,20000,120000, LABOUR PAYMENT FOR PRODUCTION ,67450,52550
02/01/2023,1 DRUM MCFDS,10000,10000,,,10000
01/03/2023,6 DRUMS,23000,138000, LABOUR PAYMENT FOR PRODUCTION ,51200,86800
02/03/2023,6 DRUMS,20000,120000, LABOUR PAYMENT FOR PRODUCTION ,63450,56550
08/03/2023,5 GALLONS,19000,95000, LABOUR PAYMENT FOR PRODUCTION ,64140,30860
10/03/2023,6 GALLONS,22000,132000, LABOUR PAYMENT FOR PRODUCTION ,77600,54400
04/04/2023,6 GALLONS,17000,102000, LABOUR PAYMENT FOR PRODUCTION ,47500,54500
03/06/2023,7 DRUMS,13000,91000, LABOUR PAYMENT FOR PRODUCTION ,59350,31650
02/07/2023,7 DRUMS,18000,126000, LABOUR PAYMENT FOR PRODUCTION ,59000,67000
04/07/2023,4 GALLONS,17000,68000, LABOUR PAYMENT FOR PRODUCTION ,32500,35500
06/07/2023,7 GALLONS,17000,119000, LABOUR PAYMENT FOR PRODUCTION ,78600,40400
06/07/2023,KERNEL SALES(41 DRUMS),7000,287000, USED FOR PART PAYMENT FOR CLEARING ,287000,    
05/08/2023,5 GALLONS,19000,95000, LABOUR PAYMENT FOR PRODUCTION ,55000,40000
01/09/2023,5 DRUMS,23000,115000, LABOUR PAYMENT FOR PRODUCTION ,47775,67225
02/09/2023,7 DRUMS,18000,126000, LABOUR PAYMENT FOR PRODUCTION ,52900,73100
09/09/2023,8 GALLONS,20000,160000, LABOUR PAYMENT FOR PRODUCTION ,92070,67930
09/09/2023,MCFDS 1 GALLON,10000,10000,,,10000
03/10/2023,7 DRUMS,13000,91000, LABOUR PAYMENT FOR PRODUCTION ,61900,29100
03/10/2023,MCFDS OIL,10000,10000,,,10000
06/10/2023,6 GALLONS,19000,114000, LABOUR PAYMENT FOR PRODUCTION ,64000,50000
08/10/2023,6 GALLONS,20000,120000, LABOUR PAYMENT FOR PRODUCTION ,64350,55650
02/11/2023,6 DRUMS,18000,108000, LABOUR PAYMENT FOR PRODUCTION ,57300,50700
04/12/2023,6 GALLONS,19000,114000, LABOUR PAYMENT FOR PRODUCTION ,58000,56000
13/01/2023,6 DRUMS,23000,138000, LABOUR PAYMENT FOR PRODUCTION ,59000,79000
13/03/2023,8 GALLONS,14000,112000, LABOUR PAYMENT FOR PRODUCTION ,64530,47470
14/02/2023,7 DRUMS,15000,105000, LABOUR PAYMENT FOR PRODUCTION ,58550,46450
16/03/2023,7 GALLONS,14000,98000, LABOUR PAYMENT FOR PRODUCTION ,61050,36950
16/05/2023,6 GALLONS,19000,114000, LABOUR PAYMENT FOR PRODUCTION ,44000,70000
16/05/2023,1 GALLON MCFDS,1000,10000, CLIMBING ROPE PURCHASE ,15000,-5000
19/01/2023,5 DRUMS,23000,115000, LABOUR PAYMENT FOR PRODUCTION ,55300,59700
20/04/2023,7 GALLONS,19000,133000, LABOUR PAYMENT FOR PRODUCTION ,62750,70250
20/07/2023,7 GALLONS,17000,133000, LABOUR PAYMENT FOR PRODUCTION ,70700,62300
20/07/2023,1 GALLON MCFDS,10000,10000, WATCHNIGHT SALARY FOR MAY.2023 ,25000,-15000
21/02/2023,7 DRUMS,15000,105000, LABOUR PAYMENT FOR PRODUCTION ,61400,43600
21/03/2023,8 GALLONS,14000,112000, LABOUR PAYMENT FOR PRODUCTION ,63770,48230
22/09/2023,7 GALLONS,20000,140000, LABOUR PAYMENT FOR PRODUCTION ,70600,69400
23/05/2023,6 GALLONS,19000,114000, LABOUR PAYMENT FOR PRODUCTION ,56700,57300
24/01/2023,6 DRUMS,24000,144000, LABOUR PAYMENT FOR PRODUCTION ,60550,83450
24/03/2023,6 GALLONS,16000,96000, LABOUR PAYMENT FOR PRODUCTION ,48500,47500
25/04/2023,6 GALLONS,20000,120000, LABOUR PAYMENT FOR PRODUCTION ,60700,59300
25/06/2023,5?2 GALLONS,17000,85000, LABOUR PAYMENT FOR PRODUCTION ,81600,3400
28/01/2023,6 DRUMS,24000,144000, LABOUR PAYMENT FOR PRODUCTION ,57010,86990
29/03/2023,7 GALLONS,17000,119000, LABOUR PAYMENT FOR PRODUCTION ,64800,54200
29/06/2023,7 GALLONS,16000,112000, LABOUR PAYMENT FOR PRODUCTION ,111000,1000
30/03/2023,6 GALLONS,17000,102000, LABOUR PAYMENT FOR PRODUCTION ,48550,53450
30/05/2023,5 GALLONS,17000,85000, LABOUR PAYMENT FOR PRODUCTION ,59900,25100
30/08/2023,6 GALLONS,20000,120000, LABOUR PAYMENT FOR PRODUCTION ,72900,47100
